Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Origin Country,Variant Price India [INR],Variant Price INR,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JE616WC00EW6DXM8YZW6YYKZ,beta-hcg-total,Beta hCG Test - Pregnancy marker,published,"The Beta hCG test is a simple blood test that measures the levels of hCG in the body. hCG stands for human chorionic gonadotropin, which is a hormone produced by the cells of the early embryo, usually during pregnancy. Measurement of hCG levels helps identify normal pregnancy as well as complications that may arise during pregnancy such as ectopic pregnancy (the fertilised egg is implanted outside the uterus), being pregnant with multiple babies or even a miscarriage. It can also help monitor an individual after an aborted pregnancy, and is also known as the pregnancy test or maternal marker because it detects the hormone that is produced by the body during pregnancy. The Beta hCG test is considered to be an accurate test for confirming pregnancy as compared to home pregnancy kits that are based on an assessment of urine. The Beta hCG test can detect even small amounts of hCG in the blood sample. Therefore, the test can also help determine the age of the foetus. The test can provide insights into pregnancy at as early as 7-10 days after conception. The test can also facilitate the comparison of hCG levels during various phases of pregnancy.
",Also Known as  Human Chorionic Gonadotropin Hormone | Beta hCG - Total | Pregnancy Test,,,,,2024-12-03T10:31:44.764Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T10:31:44.764Z,,,variant_01JE616WD3RBFN4J3R4697E4JG,Default variant,,,,,,false,false,,2024-12-03T10:31:44.803Z,,,,,,Default option,Default option value,,750,,prod_01JE616WC00EW6DXM8YZW6YYKZ,2024-12-03T10:31:44.803Z,0,,
prod_01JE61PN229MW541ER5SBY263X,erythrocyte-sedimentation-rate-esr,Erythrocyte Sedimentation Rate (ESR),published,"The Erythrocyte Sedimentation Rate (ESR) test can determine whether or not you have inflammation in your body. Inflammation is your immune system's way of reacting to an injury, infection, and various other illnesses, such as blood disorders, some malignancies, and immune system disorders.

The ESR blood test measures the speed at which the red blood cells (erythrocytes) in a blood sample settle at the bottom of the test tube (sedimentation) Our lab uses automated equipment for this measurement, unlike the manual method which involves direct observation. Typically, erythrocytes settle slowly. Normally, the red blood cells settle slowly; however, in inflammatory conditions, the red blood cells typically settle more quickly to the bottom of the test tube.

Although the ESR test is not a diagnostic technique, it can assist your doctor in tracking the development of an inflammatory disease.",Also Known as  Sedimentation Rate test | ESR westergren,,,,,2024-12-03T10:40:21.566Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T10:40:21.566Z,,,variant_01JE61PN35ZTXASK0S0K2700PZ,Default variant,,,,,,false,false,,2024-12-03T10:40:21.605Z,,,,,,Default option,Default option value,,150,,prod_01JE61PN229MW541ER5SBY263X,2024-12-03T10:40:21.605Z,0,,
prod_01JE62JMH5J3576AWGZ48CP9DE,fever-profile-comprehensive,Fever Profile - Comprehensive,published,"The Fever Profile - Comprehensive Test is a diagnostic package designed to identify the underlying causes of persistent fever. This test assesses blood cell counts, liver function, and evaluates markers for infections like malaria, dengue, typhoid, and chikungunya.

Fever is a common symptom of illness and can significantly affect health. Acute febrile illness (AFI) is a fever lasting for less than two weeks and can be caused by different pathogens. Because symptoms can overlap and diagnostic tools may be limited, finding the exact cause of the fever can be difficult.

The Fever Profile - Comprehensive Test is particularly valuable during the monsoon season when the risk of getting these infections increases. By providing a thorough evaluation, it helps identify the exact cause of fever and guides appropriate treatment, ensuring comprehensive care for patients.
","69 parameters included Tests included: Liver Function Test (LFT), Smear for Malarial Parasite (MP), Dengue profile (ELISA) & 4 other tests",,,pcol_01JDMJWVRJXKENQWT8VYQ19CSB,,2024-12-03T10:55:38.528Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:20:57.979Z,,,variant_01JE62JMJ43MVAGBZRKFZMBT2N,Fever Profile - Comprehensive,,,,,,false,false,,2024-12-03T10:55:38.564Z,,,,,,Default option,Default option value,,1999,,prod_01JE62JMH5J3576AWGZ48CP9DE,2024-12-03T10:55:38.564Z,0,,
prod_01JE621GNJ209TV6ZCFXZW64MV,microalbumin-creatinine-ratio,Microalbumin Creatinine Ratio - Urine Test,published,"The Microalbumin Creatinine Ratio Urine test assesses the presence of albumin in your urine compared to creatinine. Albumin is a protein found in the blood while creatinine is a waste product from muscle metabolism. Healthy kidneys filter out waste products from the blood, preventing larger molecules, such as albumin, from passing in the urine. Normally, only minimal or no albumin is present in urine. However, higher amounts of albumin may leak into the urine when kidney function is compromised. Referred to as albuminuria or proteinuria, this can signal potential kidney impairment that requires further evaluation and management, especially in people with risk factors such as diabetes or hypertension. This test therefore helps in the early detection of kidney damage or disease and allows for timely intervention to prevent their progression.
","Also Known As MACR, Urine albumin, ACR, Albumin Creatinine Ratio",,,,,2024-12-03T10:46:17.518Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T10:46:17.518Z,,,variant_01JE621GPM89WXZHCH8PCZYDR3,Default variant,,,,,,false,false,,2024-12-03T10:46:17.556Z,,,,,,Default option,Default option value,,600,,prod_01JE621GNJ209TV6ZCFXZW64MV,2024-12-03T10:46:17.556Z,0,,
prod_01JE61NJP06RJZZ509RP03JM4A,widal-slide-test,Widal Test (Slide Method),published,"The Widal test is a blood test used to measure antibody titres when an individual is suspected to have typhoid or paratyphoid fever (collectively known as enteric fever). Antibody titres measure the presence and amount of these specific antibodies in the blood, which in turn reflects the body's immune response when it is exposed to antigens (foreign substances). The Widal test specifically detects antibodies against the O and H antigens of Salmonella Typhi and H antigens of Salmonella Paratyphi . Introduced by F. Widal in 1896, this blood test uses a suspension medium containing killed Salmonella Typhi bacterium as the antigen to identify the presence of typhoid fever in patients presenting with fever. Therefore, anyone exhibiting symptoms and indications of enteric fever may benefit from a Widal test.

Given its role in diagnosing enteric fever, the Widal test can be a critical diagnostic tool aiding in timely detection and treatment. Therefore, if you live in Bangalore and are experiencing symptoms of enteric fever, consider getting a Widal test in Bangalore today.",Also Known as  Entric fever test | Typhoid test,,,,,2024-12-03T10:39:46.363Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T10:39:46.363Z,,,variant_01JE61NJQCTAZGYVRQBY8XXJ02,Widal Test (Slide Method),,,,,,false,false,,2024-12-03T10:39:46.412Z,,,,,,Default option,Widal Test (Slide Method),,350,,prod_01JE61NJP06RJZZ509RP03JM4A,2024-12-03T10:39:46.412Z,0,,
prod_01JE632A0P1MXM3V1Z417AHJS0,stool-occult-blood-test,Stool Occult Blood Test,published,"The Stool Occult Blood test is a crucial diagnostic tool used to detect hidden (occult) blood in the stool. This test helps to identify reasons for bleeding in the digestive tract such as polyps, haemorrhoids, diverticulosis, ulcers or colitis. It is also employed for colorectal cancer screening, particularly in developed countries, where colorectal cancer ranks among the most prevalent malignancies affecting both men and women. Early detection of this disease is vital, as it significantly impacts health outcomes. When properly implemented, Stool Occult Blood screening has been linked to reduced disease and death rates associated with colorectal cancer.
",Measures hidden blood in the stool,,,,,2024-12-03T11:04:12.051Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:04:12.051Z,,,variant_01JE632A1Q2XP37DH5E90FZBHJ,Default variant,,,,,,false,false,,2024-12-03T11:04:12.087Z,,,,,,Default option,Default option value,,150,,prod_01JE632A0P1MXM3V1Z417AHJS0,2024-12-03T11:04:12.087Z,0,,
prod_01JE61MCME278JYK4TX3WERYB6,blood-sugar,Blood Sugar,published,"The Random Blood Sugar (RBS) test is used to measure the amount of glucose. The RBS test helps to determine the levels of glucose at any point in time. To confirm the diagnosis, follow-up tests are required, which include glucose-fasting tests. This test provides a speedy diagnosis of diabetes. Also, it's helpful for diabetic patients who require a supplementary dose of insulin just in case of an emergency.
",Also Known as  Diabetes Test | Random Blood Sugar | Blood Glucose Random | RBS,,,pcol_01JDMJW6AV22KK6TT18MYA93D5,,2024-12-03T10:39:07.401Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:16:43.077Z,,,variant_01JE61MCNTFZPCJS56KCDH9M6C,Blood Sugar,,,,,,false,false,,2024-12-03T10:39:07.451Z,,,,,,Blood Sugar,Blood Sugar,,180,,prod_01JE61MCME278JYK4TX3WERYB6,2024-12-03T10:39:07.451Z,0,,
prod_01JE6180CW6RXZDN4D5GXHY3CB,elctrolytes,Electrolytes Test,published,"An Electrolytes test is a simple blood test that checks the levels of essential minerals in your body. These minerals, known as electrolytes, include sodium, potassium, and chloride. They play a crucial role in keeping your body functioning properly.

Electrolytes help balance the amount of water in your body, control nerve and muscle functions, maintain the right acidity level (pH) in your blood, and regulate heart rate, rhythm and blood pressure. When the level of one or more electrolytes in the body fluctuates, it can cause an electrolyte imbalance. An imbalance in these electrolytes can lead to dehydration or overhydration, and can be caused due to diarrhoea, vomiting, heavy sweating, not taking enough fluids, some medications or problems with your kidneys, heart, or liver function.

The Electrolytes test provides vital information that helps ensure your body's systems function properly, making it a fundamental part of routine health check-ups and the management of specific health conditions.","Also Known As ELECTROLYTES (Na+, K+, Cl) - SERUM, Na+,K+,Cl test, Sodium, Potassium, Chlorine",,,,,2024-12-03T10:32:21.656Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T10:32:21.656Z,,,variant_01JE6180DVGH1T6B2TQPNZKXDS,Default variant,,,,,,false,false,,2024-12-03T10:32:21.692Z,,,,,,Default option,Default option value,,450,,prod_01JE6180CW6RXZDN4D5GXHY3CB,2024-12-03T10:32:21.692Z,0,,
prod_01JE62H1X57HRNQ9M4XP0M32KS,womens-health-checkup-comprehensive,Women Health Checkup - Comprehensive,published,"Women's health encompasses a wide range of issues, including those unique to women such as menstruation and pregnancy, as well as conditions like heart disease and diabetes, which can affect women differently than men. Thus, regular health check-ups are crucial for early detection and treatment of various conditions. Our Women's Health Checkup Package is specifically tailored to monitor women's overall health. It includes a comprehensive set of tests such as hormonal evaluations, lipid profile, thyroid assessment, blood glucose levels, and tests for calcium, iron, and vitamins. Additionally, this package offers specialised tests for detecting conditions like polycystic ovarian disease (PCOD), ovarian cancer, and arthritis.
","98 parameters included Tests included: Liver Function Test (LFT), Cancer Antigen 125 (CA 125), Kidney Function Test with Electrolytes (KFT / RFT) & 12 other tests",,,pcol_01JDMJWVRJXKENQWT8VYQ19CSB,,2024-12-03T10:54:46.689Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:20:57.979Z,,,variant_01JE62H1YB74R4H88W6DMFHD3N,Women's Health Checkup - Comprehensive,,,,,,false,false,,2024-12-03T10:54:46.731Z,,,,,,Default option,Women Health Checkup - Comprehensive,,3499,,prod_01JE62H1X57HRNQ9M4XP0M32KS,2024-12-03T10:54:46.731Z,0,,
prod_01JE6310P5QV604GQTAJFNZ06T,cholesterol-total,Cholesterol Total,published,"The Cholesterol Total test is a blood test that measures the concentration of total cholesterol in your blood. Cholesterol is a fatty, wax-like substance that is essential for building healthy cells and supporting various functions in the body. However, when cholesterol levels are too elevated, it can lead to serious health issues.

This test measures your total cholesterol, which includes three key components: LDL (low-density lipoprotein, or bad cholesterol), HDL (high-density lipoprotein, or good cholesterol), and triglycerides. LDL is considered bad because it can lead to an accumulation of fat (plaque) in your arteries, narrowing them and increasing the risk of heart disease, heart attacks, or strokes. HDL is known as good cholesterol because it helps remove excess cholesterol from the blood, protecting the heart.

Doctors often order a total cholesterol test as part of a lipid profile, which assesses the overall fat levels in your blood. Having a high total cholesterol level means an increased risk for heart disease, stroke, and other cardiovascular problems. This makes regular cholesterol testing essential, particularly for individuals with risk factors like a poor diet, a sedentary lifestyle, or a family history of heart disease.","Also Known As Blood Cholestrol, T. Cholesterol Test, Serum Cholesterol",,,,,2024-12-03T11:03:29.728Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:03:29.728Z,,,variant_01JE6310Q8TSK1WB2EJBSQRXAE,Default variant,,,,,,false,false,,2024-12-03T11:03:29.768Z,,,,,,Default option,Default option value,,210,,prod_01JE6310P5QV604GQTAJFNZ06T,2024-12-03T11:03:29.768Z,0,,
prod_01JE62X4YC3HFC57BF7QRRRF21,diabetes-care-package-essential,Diabetes Care Package - Essential,published,"Diabetes is a chronic condition where the body struggles to produce or effectively use insulin, leading to elevated blood sugar levels. It often requires lifelong management and, if left untreated, can result in severe complications. Our Diabetes Care Package offers comprehensive health assessments specifically designed for individuals with diabetes or those at risk. These assessments monitor blood glucose levels, identify potential diabetes-related complications, and provide a thorough evaluation of overall health.

Our extensive Diabetic Health Checkup includes 7 tests, covering 40 parameters such as fasting blood sugar (FBS), postprandial blood sugar (PPBS), glycosylated haemoglobin (HbA1c), and total cholesterol for heart health. It also includes kidney function tests, microalbumin-creatinine ratio and a complete urine analysis, providing a comprehensive overview of your health.","42 parameters included Tests included: Cholesterol Total, Microalbumin Creatinine Ratio, Urine, Fasting Blood Sugar (FBS) & 4 other tests",,,,,2024-12-03T11:01:23.016Z,,true,,,false,,,,,sc_01JDMG1MFGPD5X3D2VESYCPAMJ,2024-12-03T11:01:23.016Z,,,variant_01JE62X4ZHJWFMPPD0VFNF5M5K,Default variant,,,,,,false,false,,2024-12-03T11:01:23.057Z,,,,,,Default option,Default option value,,999,,prod_01JE62X4YC3HFC57BF7QRRRF21,2024-12-03T11:01:23.057Z,0,,
